Course Code,Venue (Room No.),Roll Numbers / Student Details
CS2102,G02,"24MS001 to 24MS158, 22MS213, 23M5013 to 23MS256"
CS2102,G08,"24MS167 to 24MS249, 25MS020 to 25MS225"
LS2103,G05,"25MS001 to 25MS113, Reenrollment"
LS2103,G02,25MS114 to 25MS213
LS2103,G08,25MS214 to 25MS328
MA2102,G02,25MS001 to 25MS132
MA2102,G08,25M8134 to 25MS323
CH2102,G05,"25MS002 to 25MS110, Reenrollment"
CH2102,G02,25MS111 to 25MS229
CH2102,G08,25MS230 to 25MS328
ES2103,G02,25MS004 to 25MS160
ES2103,G08,25MS161 to 25MS328
PH2104,G05,"25M5001 to 25MS111, Reenrollment"
PH2104,G02,25MS112 to 25MS236
PH2104,G08,25MS237 to 25MS327
CH2105,G05,"25MS002 to 25MS110, Reenrollment"
CH2105,G02,25MS111 to 25MS229
CH2105,G08,25MS230 to 25MS328
PH2101,G05,"25MS001 to 25MS094, Reenrollment"
PH2101,G02,25MS096 to 25MS218
PH2101,G08,25MS221 to 25MS327
LS2101,G05,"25M5001 to 25M5110, Reenrollment"
LS2101,G02,25MS112 to 25MS213
LS2101,G08,25MS214 to 25MS328
ES2104,G02,"25MS004 to 25MS185, Reenrollment"
ES2104,G08,25MS189 to 25MS328
MA2104,G02,"25MS001 to 25MS199, RS"
MA2104,G08,25MS201 to 25MS323
CH2104,G05,"25MS002 to 25MS110, Reenrollment"
CH2104,G02,25MS111 to 25MS229
CH2104,G08,25MS230 to 25MS328
PH3103,G05,"24M5001 to 24MS192, Recnrollment"
PH3103,G06,"24MS194 to 24MS247, IP"
MA3104,201,"24MS003 to 24MS152, Reenrollment"
MA3104,209,"24MS156 to 24MS233, 25MP, 26MP, RS"
PH4102,102,"23MS004 to 23MS132, Reenrollment"
PH4102,103,"23MS133 to 23MS270, IP, VS"
CH4104,110,"23MS006 to 23MS273, Reenrollment"
CH4104,108,"25MP, 26RS"
LS4107,102,"23MS001 to 23MS203, Reenrollment"
LS4107,103,"23MS204 to 23MS274, IP, MP, RS, VS"
PH4101,102,"23MS004 to 23MS132, Reenrollment"
PH4101,103,"23M5133 to 23MS265, IP, RS"
CH4121,110,"23M5006 to 23MS266, Reenrollment"
CH4121,111,"23MS268 to 23MS273, MP, RS, VS"
CS4103,102,"23MS002 to 23MS111, 22RS, Reenrollment"
CS4103,103,"23MS120 to 23MS273, IP, 25RS, 26RS"
CH4102,110,"23MS006 to 23MS273, Reenrollment"
CH4102,111,"26MP, 26RS"
CS2101,G02,All
MA2101,G05,All
LS3102,G06,All
ES3103,111,All
CH3104,110,All
MA3108,102,All
PH3102,G06,All
MA3109,102,All
LS3101,110,All
CH3103,G06,All
ES3108,102,All
PH3101,G06,All
ES3101,101,All
ES3105,G08,All
LS3103,G06,All
MA3110,G05,All
CH3102,110,All
PH3104,G06,All
CH3101,G06,All
MA3101,112,All
CH3106,108,All
MA3103,112,All
CH4127,101,All
MA4112,G09,All
PH5113,G09,All
CH4111,G06,All
PH4108,G06,All
CH4125,110,All
ES4107,110,All
LS4112,110,All
MA4104,G09,All
CH5103,101,All
PH4113,G06,All
CH4105,108,All
LS4102,103,All
CH4122,102,All
LS4113,108,All
CH4109,112,All
CH4106,112,All
PH4106,103,All
LS4106,201,All
MA5102,108,All
LS5101,102,All
LS4109,103,All
PH4104,110,All
MA4110,101,All
PH5103,G06,All
PH4107,102,All
MA4101,108,All
MA4102,103,All
LS4101,209,All
ES4108,G09,All
CH4126,112,All
CH4117,110,All
LS4115,110,All
ES4103,G05,All
MA4107,110,All
CH4114,102,All
CH5104,G09,All
MA5126,G09,All
CH4128,112,All
ES4105,G08,All
CH4107,G05,All
MA4106,112,All
ES4101,108,All
LS4103,102,All
PH4110,103,All
CH5102,209,All
CH4115,101,All
CH4116,111,All
LS4105,G06,All
MA5122,G06,All
PH5114,G06,All
