Course Code,Date,Shift
LS2103,05/09/2026,1
LS3102,05/09/2026,1
MA3104,05/09/2026,1
ES3103,05/09/2026,1
PH4102,05/09/2026,1
CH4127,05/09/2026,1
CH4104,05/09/2026,1
MA4112,05/09/2026,1
PH5113,05/09/2026,1
MA2102,05/09/2026,2
PH3103,05/09/2026,2
CH4111,05/09/2026,2
PH4108,05/09/2026,2
LS4107,05/09/2026,2
CH4125,05/09/2026,2
ES4107,05/09/2026,2
LS4112,05/09/2026,2
MA4104,05/09/2026,2
CH5103,05/09/2026,2
CH2102,07/09/2026,1
CH3104,07/09/2026,1
MA3108,07/09/2026,1
PH4113,07/09/2026,1
CH4105,07/09/2026,1
LS4102,07/09/2026,1
CH4122,07/09/2026,1
LS4113,07/09/2026,1
CH4109,07/09/2026,1
ES2103,07/09/2026,2
PH3102,07/09/2026,2
MA3109,07/09/2026,2
LS3101,07/09/2026,2
CH4106,07/09/2026,2
PH4106,07/09/2026,2
LS4106,07/09/2026,2
MA5102,07/09/2026,2
LS5101,07/09/2026,2
CS2101,08/09/2026,1
PH2104,08/09/2026,2
CH3103,08/09/2026,2
ES3108,08/09/2026,2
LS4109,08/09/2026,2
PH4104,08/09/2026,2
MA4110,08/09/2026,2
PH5103,08/09/2026,2
LS2101,09/09/2026,1
PH3101,09/09/2026,1
ES3101,09/09/2026,1
PH4107,09/09/2026,1
MA4101,09/09/2026,1
MA4102,09/09/2026,1
LS4101,09/09/2026,1
ES4108,09/09/2026,1
CH4126,09/09/2026,1
CH4121,09/09/2026,1
CH2105,09/09/2026,2
MA2104,10/09/2026,1
ES3105,10/09/2026,1
LS3103,10/09/2026,1
MA3110,10/09/2026,1
CH4117,10/09/2026,1
LS4115,10/09/2026,1
ES4103,10/09/2026,1
MA4107,10/09/2026,1
CH4114,10/09/2026,1
CH5104,10/09/2026,1
MA5126,10/09/2026,1
ES2104,10/09/2026,2
CH3102,10/09/2026,2
PH3104,10/09/2026,2
PH4101,10/09/2026,2
CH4128,10/09/2026,2
ES4105,10/09/2026,2
CH4107,10/09/2026,2
MA4106,10/09/2026,2
PH2101,11/09/2026,1
MA2101,11/09/2026,2
CH3101,11/09/2026,2
MA3101,11/09/2026,2
ES4101,11/09/2026,2
CH4102,11/09/2026,2
LS4103,11/09/2026,2
PH4110,11/09/2026,2
CH5102,11/09/2026,2
CS2102,12/09/2026,1
CH2104,12/09/2026,2
CH3106,12/09/2026,2
MA3103,12/09/2026,2
CS4103,12/09/2026,2
CH4115,12/09/2026,2
CH4116,12/09/2026,2
LS4105,12/09/2026,2
MA5122,12/09/2026,2
PH5114,12/09/2026,2
